22.5 4.7705e+08 3.9706e+08 2.6254e+08
23 4.9667e+08 4.0955e+08 2.6442e+08
23.5 5.1575e+08 4.2158e+08 2.6588e+08
24 5.3428e+08 4.3313e+08 2.6698e+08
24.5 5.5229e+08 4.4418e+08 2.6774e+08
25 5.6968e+08 4.5477e+08 2.6814e+08
25.5 5.8641e+08 4.6491e+08 2.683e+08
26 6.0249e+08 4.7461e+08 2.6826e+08
26.5 6.1796e+08 4.8386e+08 2.6802e+08
27 6.3275e+08 4.9267e+08 2.6757e+08
27.5 6.4687e+08 5.011e+08 2.6696e+08
28 6.6032e+08 5.0915e+08 2.6625e+08
28.5 6.7312e+08 5.1682e+08 2.6546e+08
29 6.8531e+08 5.2411e+08 2.6457e+08
29.5 6.9689e+08 5.3104e+08 2.636e+08
30 7.0785e+08 5.3766e+08 2.6253e+08
30.5 7.182e+08 5.4397e+08 2.6144e+08
31 7.2798e+08 5.5e+08 2.6033e+08
31.5 7.3725e+08 5.5572e+08 2.592e+08
32 7.4602e+08 5.6114e+08 2.5804e+08
32.5 7.5429e+08 5.6629e+08 2.5686e+08
33 7.6206e+08 5.7121e+08 2.5566e+08
33.5 7.6933e+08 5.7592e+08 2.5445e+08
34 7.762e+08 5.804e+08 2.5326e+08
34.5 7.8269e+08 5.8466e+08 2.5207e+08
35 7.8882e+08 5.887e+08 2.5089e+08
35.5 7.9458e+08 5.9251e+08 2.4973e+08
36 7.9998e+08 5.9614e+08 2.4858e+08
36.5 8.0499e+08 5.9962e+08 2.4743e+08
37 8.097e+08 6.0294e+08 2.463e+08
37.5 8.1415e+08 6.061e+08 2.4518e+08
38 8.1837e+08 6.0912e+08 2.4408e+08
38.5 8.2233e+08 6.1198e+08 2.43e+08
39 8.2605e+08 6.1469e+08 2.4194e+08
39.5 8.2952e+08 6.1724e+08 2.409e+08
40 8.3275e+08 6.1966e+08 2.3987e+08
40.5 8.3573e+08 6.2198e+08 2.3887e+08
41 8.3857e+08 6.242e+08 2.3788e+08
41.5 8.4126e+08 6.2632e+08 2.3692e+08
42 8.4379e+08 6.2835e+08 2.3597e+08
42.5 8.4619e+08 6.3027e+08 2.3505e+08
43 8.4843e+08 6.321e+08 2.3414e+08
43.5 8.5052e+08 6.3383e+08 2.3325e+08
44 8.5246e+08 6.3546e+08 2.3239e+08
44.5 8.5425e+08 6.3698e+08 2.3154e+08
45 8.5591e+08 6.3844e+08 2.307e+08
45.5 8.575e+08 6.3983e+08 2.2989e+08
46 8.5901e+08 6.4117e+08 2.2908e+08
46.5 8.6043e+08 6.4246e+08 2.283e+08
47 8.6178e+08 6.4368e+08 2.2753e+08
47.5 8.6305e+08 6.4485e+08 2.2679e+08
48 8.6424e+08 6.4596e+08 2.2605e+08
48.5 8.6535e+08 6.4701e+08 2.2534e+08
49 8.6638e+08 6.4801e+08 2.2464e+08
49.5 8.6733e+08 6.4894e+08 2.2396e+08
50 8.6819e+08 6.4982e+08 2.2329e+08
50.5 8.69e+08 6.5064e+08 2.2264e+08
51 8.6978e+08 6.5143e+08 2.2199e+08
51.5 8.7052e+08 6.5218e+08 2.2137e+08
52 8.7122e+08 6.5291e+08 2.2075e+08
52.5 8.7188e+08 6.536e+08 2.2015e+08
53 8.7251e+08 6.5426e+08 2.1956e+08
53.5 8.731e+08 6.5489e+08 2.1898e+08
54 8.7365e+08 6.5549e+08 2.1841e+08
54.5 8.7416e+08 6.5606e+08 2.1786e+08
55 8.7463e+08 6.566e+08 2.1732e+08
55.5 8.7507e+08 6.571e+08 2.168e+08
56 8.7547e+08 6.5757e+08 2.1628e+08
56.5 8.7584e+08 6.5802e+08 2.1577e+08
57 8.762e+08 6.5844e+08 2.1528e+08
57.5 8.7654e+08 6.5885e+08 2.1479e+08
58 8.7686e+08 6.5924e+08 2.1431e+08
58.5 8.7715e+08 6.596e+08 2.1385e+08
59 8.7744e+08 6.5995e+08 2.1339e+08
59.5 8.777e+08 6.6029e+08 2.1294e+08
60 8.7794e+08 6.606e+08 2.125e+08
