23 1.9854e+08 1.4854e+08 8.2568e+07
23.5 2.0525e+08 1.5107e+08 8.0764e+07
24 2.1195e+08 1.5349e+08 7.8899e+07
24.5 2.1864e+08 1.5582e+08 7.7025e+07
25 2.2533e+08 1.5808e+08 7.514e+07
25.5 2.32e+08 1.6027e+08 7.3247e+07
26 2.3865e+08 1.6239e+08 7.1339e+07
26.5 2.4528e+08 1.6444e+08 6.9451e+07
27 2.5189e+08 1.6643e+08 6.7593e+07
27.5 2.5848e+08 1.6837e+08 6.5766e+07
28 2.6503e+08 1.7027e+08 6.3968e+07
28.5 2.7153e+08 1.7213e+08 6.22e+07
29 2.7799e+08 1.7395e+08 6.0462e+07
29.5 2.8442e+08 1.7573e+08 5.8765e+07
30 2.9082e+08 1.7747e+08 5.711e+07
30.5 2.9715e+08 1.7918e+08 5.5497e+07
31 3.0341e+08 1.8086e+08 5.3926e+07
31.5 3.096e+08 1.8252e+08 5.2397e+07
32 3.1572e+08 1.8415e+08 5.091e+07
32.5 3.2177e+08 1.8575e+08 4.9465e+07
33 3.2777e+08 1.8733e+08 4.8067e+07
33.5 3.3369e+08 1.8889e+08 4.6705e+07
34 3.3952e+08 1.9042e+08 4.5379e+07
34.5 3.4525e+08 1.9193e+08 4.4089e+07
35 3.5088e+08 1.9342e+08 4.2835e+07
35.5 3.5642e+08 1.949e+08 4.1617e+07
36 3.6186e+08 1.9635e+08 4.0434e+07
36.5 3.6721e+08 1.9779e+08 3.9287e+07
37 3.7248e+08 1.992e+08 3.8176e+07
37.5 3.7763e+08 2.006e+08 3.7101e+07
38 3.8268e+08 2.0198e+08 3.6061e+07
38.5 3.8761e+08 2.0334e+08 3.5058e+07
39 3.9243e+08 2.0468e+08 3.4082e+07
39.5 3.9713e+08 2.0601e+08 3.3131e+07
40 4.0173e+08 2.0732e+08 3.2207e+07
40.5 4.0621e+08 2.0861e+08 3.1309e+07
41 4.1059e+08 2.0988e+08 3.0437e+07
41.5 4.1486e+08 2.1114e+08 2.9592e+07
42 4.1902e+08 2.1238e+08 2.8773e+07
42.5 4.2307e+08 2.1361e+08 2.798e+07
43 4.2701e+08 2.1481e+08 2.7215e+07
43.5 4.3084e+08 2.1601e+08 2.6472e+07
44 4.3456e+08 2.1718e+08 2.5748e+07
44.5 4.3817e+08 2.1833e+08 2.5043e+07
45 4.4166e+08 2.1947e+08 2.4358e+07
45.5 4.4505e+08 2.206e+08 2.3693e+07
46 4.4833e+08 2.2171e+08 2.3047e+07
46.5 4.5152e+08 2.228e+08 2.242e+07
47 4.5462e+08 2.2388e+08 2.1813e+07
47.5 4.5762e+08 2.2494e+08 2.1226e+07
48 4.6053e+08 2.2598e+08 2.0656e+07
48.5 4.6334e+08 2.2701e+08 2.01e+07
49 4.6605e+08 2.2802e+08 1.9558e+07
49.5 4.6868e+08 2.2901e+08 1.9032e+07
50 4.7121e+08 2.2999e+08 1.8519e+07
50.5 4.7364e+08 2.3096e+08 1.8022e+07
51 4.7598e+08 2.3191e+08 1.7539e+07
51.5 4.7824e+08 2.3284e+08 1.707e+07
52 4.8044e+08 2.3376e+08 1.6617e+07
52.5 4.8256e+08 2.3466e+08 1.6176e+07
53 4.8461e+08 2.3555e+08 1.5747e+07
53.5 4.8659e+08 2.3642e+08 1.5328e+07
54 4.8851e+08 2.3728e+08 1.492e+07
54.5 4.9035e+08 2.3813e+08 1.4524e+07
55 4.9212e+08 2.3896e+08 1.4138e+07
55.5 4.9382e+08 2.3977e+08 1.3763e+07
56 4.9545e+08 2.4057e+08 1.3399e+07
